prefix,namespace,description
acl,http://www.w3.org/ns/auth/acl#,
dc,http://purl.org/dc/elements/1.1/,
dcterms,http://purl.org/dc/terms/,
ebucore,http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#,
foaf,http://xmlns.com/foaf/0.1/,
iana,http://www.iana.org/assignments/relation/,
ldp,http://www.w3.org/ns/ldp#,
pcdm,http://pcdm.org/models#,
pcdmuse,http://pcdm.org/use#,
pcdmrights,http://pcdm.org/rights#,
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,
rdfs,http://www.w3.org/2000/01/rdf-schema#,
xml,http://www.w3.org/XML/1998/namespace,
xmlns,http://www.w3.org/2000/xmlns/,
xs,http://www.w3.org/2001/XMLSchema,
xsi,http://www.w3.org/2001/XMLSchema-instance,
vcard,http://www.w3.org/2006/vcard/ns#,
webac,http://fedora.info/definitions/v4/webac#,